2018-02-12 19:56:04.631 INFO  DefaultFactory Logging to 'D:\Projects\NSB6SelfHostedClientMVC\NSB6SelfHostedClientMVC\App_Data\' with level Info
2018-02-12 19:56:04.756 WARN  NServiceBus.LicenseManager Trial for the Particular Service Platform has expired
2018-02-12 19:56:15.194 INFO  NServiceBus.PerformanceMonitorUsersInstaller Skipped adding user 'PHARMS-SERVICES\mgmccarthy' to group 'Performance Monitor Users' because the user is already in group.
2018-02-12 19:56:15.226 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2018-02-12 19:56:15.241 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2018-02-12 19:56:15.241 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2018-02-12 20:02:36.531 INFO  DefaultFactory Logging to 'D:\Projects\NSB6SelfHostedClientMVC\NSB6SelfHostedClientMVC\App_Data\' with level Info
2018-02-12 20:02:36.647 INFO  NServiceBus.LicenseManager License expires on 6/28/2018 12:00:00 AM
2018-02-12 20:02:36.717 INFO  NServiceBus.PerformanceMonitorUsersInstaller Skipped adding user 'PHARMS-SERVICES\mgmccarthy' to group 'Performance Monitor Users' because the user is already in group.
2018-02-12 20:02:36.763 INFO  NServiceBus.QueuePermissions Queue [private$\audit] is running with [Everyone] and/or [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2018-02-12 20:02:36.769 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2018-02-12 20:02:36.772 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2018-02-12 20:02:36.773 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2018-02-12 20:04:12.359 INFO  DefaultFactory Logging to 'D:\Projects\NSB6SelfHostedClientMVC\NSB6SelfHostedClientMVC\App_Data\' with level Info
2018-02-12 20:04:12.475 INFO  NServiceBus.LicenseManager License expires on 6/28/2018 12:00:00 AM
2018-02-12 20:04:12.548 INFO  NServiceBus.PerformanceMonitorUsersInstaller Skipped adding user 'PHARMS-SERVICES\mgmccarthy' to group 'Performance Monitor Users' because the user is already in group.
2018-02-12 20:04:12.598 INFO  NServiceBus.QueuePermissions Queue [private$\audit] is running with [Everyone] and/or [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2018-02-12 20:04:12.603 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2018-02-12 20:04:12.606 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2018-02-12 20:04:12.607 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2018-02-12 20:08:20.182 INFO  DefaultFactory Logging to 'D:\Projects\NSB6SelfHostedClientMVC\NSB6SelfHostedClientMVC\App_Data\' with level Info
2018-02-12 20:08:20.300 INFO  NServiceBus.LicenseManager License expires on 6/28/2018 12:00:00 AM
2018-02-12 20:08:20.363 INFO  NServiceBus.PerformanceMonitorUsersInstaller Skipped adding user 'PHARMS-SERVICES\mgmccarthy' to group 'Performance Monitor Users' because the user is already in group.
2018-02-12 20:08:20.410 INFO  NServiceBus.QueuePermissions Queue [private$\audit] is running with [Everyone] and/or [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2018-02-12 20:08:20.416 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2018-02-12 20:08:20.418 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2018-02-12 20:08:20.420 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
